URLs, Status Code
https://www.latimes.com/california/story/2021-09-18/rural-red-california-recall-election, 200
https://www.latimes.com/sports/dodgers/story/2021-09-21/jo-lasorda-widow-of-dodgers-manager-tommy-lasorda-dies, 200
https://www.latimes.com/about/how-to-obtain-rights-permissions, 200
https://www.latimes.com/opinion, 200
https://www.latimes.com/espanol/california/articulo/2021-09-21/estos-son-los-16-estados-que-tienen-tasas-de-obesidad-en-adultos-del-35-o-mas, 200
https://www.latimes.com/subscriptions/subscribe.html?int_campaign=LALD21&int_medium=FS&int_source=marketing_content, 200
https://www.latimes.com/california/story/2021-09-22/wildfires-approach-more-giant-sequoias-and-worsen-air-quality-across-central-california, 200
https://www.latimes.com/california/story/2021-09-16/how-much-did-the-california-recall-cost-maybe-300-million, 200
https://www.latimes.com/style/laaffairs/la-hm-la-affairs-yuliya-polovinchik-20181215-story.html, 200
https://www.latimes.com/entertainment-arts/business/story/2021-09-22/netflix-buys-wonka-author-dahls-catalog, 200
https://www.latimes.com/espanol/eeuu/articulo/2021-09-19/lluvia-de-reveses-caen-sobre-biden-en-una-sola-tarde, 200
https://www.latimes.com/california/story/2021-08-08/san-diego-judge-upends-california-gun-laws-with-ar-15-views, 200
https://www.latimes.com/entertainment-arts/books/story/2021-09-22/elvira-cassandra-peterson-memoir-girlfriend, 200
https://www.latimes.com/people/karen-garcia, 200
https://www.latimes.com/entertainment-arts/movies/story/2021-09-21/richard-buckley-death-tom-ford, 200
https://www.latimes.com/lifestyle/image/story/2021-09-16/these-l-a-skate-crews-show-you-how-bonds-form-on-four-wheels, 200
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-21/el-ceo-de-disney-advierte-que-el-mundo-esta-cambiando-y-tambien-los-acuerdos-de-talento, 200
https://www.latimes.com/bestcovery/?utm_campaign=bestcovery&utm_medium=homepagebarker&utm_source=on_site, 200
https://www.latimes.com/california/story/2021-09-17/with-recall-defeated-gavin-newsom-scores-well-in-poll-against-2022-rivals, 200
https://www.latimes.com/opinion/story/2021-09-22/ethnic-studies-curriculum-california-schools, 200
https://www.latimes.com/espanol/eeuu/articulo/2021-09-20/biden-proclama-que-ee-uu-ha-vuelto-a-naciones-unidas, 200
https://www.latimes.com/topic/emmys, 200
https://www.latimes.com/entertainment-arts/story/2021-09-20/los-angeles-opera-verdi-trovatore-covid, 200
