URLs Downloaded, Size(KB), # of Outlinks Found, Content Type
https://www.latimes.com/entertainment-arts/story/2021-09-20/pipilotti-rist-moca-geffen, 299, 144, text/html
https://www.latimes.com/california/story/2021-08-25/full-coverage-audio-versions-of-some-of-our-great-l-a-times-articles, 394, 151, text/html
https://www.latimes.com/espanol/deportes/articulo/2021-09-22/tatis-y-machado-dan-por-superada-su-pelea-en-el-dugout, 273, 86, text/html
https://www.latimes.com/entertainment-arts/books/los-angeles-times-book-club, 382, 217, text/html
https://www.latimes.com/entertainment-arts/movies/story/2021-09-22/dear-evan-hansen-review-ben-platt, 277, 134, text/html
https://www.latimes.com/science/story/2021-04-09/heres-what-to-do-with-your-covid-19-vaccination-card-including-if-you-lose-it, 297, 143, text/html
https://www.latimes.com/terms-of-service, 231, 107, text/html
https://www.latimes.com/espanol/vida-y-estilo, 276, 99, text/html
https://www.latimes.com/lifestyle/story/2021-09-17/things-for-gardeners-and-plant-lovers-to-do-in-los-angeles-in-september-and-october, 316, 161, text/html
https://www.latimes.com/sports/dodgers/story/2021-09-21/jo-lasorda-widow-of-dodgers-manager-tommy-lasorda-dies, 248, 129, text/html
https://www.latimes.com/subscriptions/subscribe.html?int_campaign=LALD21&int_medium=FS&int_source=marketing_content, 42, 10, text/html
https://www.latimes.com/california/story/2021-09-18/rural-red-california-recall-election, 307, 140, text/html
https://www.latimes.com/about/how-to-obtain-rights-permissions, 199, 112, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-21/estos-son-los-16-estados-que-tienen-tasas-de-obesidad-en-adultos-del-35-o-mas, 243, 84, text/html
https://www.latimes.com/opinion, 295, 153, text/html
https://www.latimes.com/california/story/2021-09-16/how-much-did-the-california-recall-cost-maybe-300-million, 292, 135, text/html
https://www.latimes.com/entertainment-arts/business/story/2021-09-22/netflix-buys-wonka-author-dahls-catalog, 269, 129, text/html
https://www.latimes.com/california/story/2021-09-22/wildfires-approach-more-giant-sequoias-and-worsen-air-quality-across-central-california, 281, 138, text/html
https://www.latimes.com/style/laaffairs/la-hm-la-affairs-yuliya-polovinchik-20181215-story.html, 274, 134, text/html
https://www.latimes.com/espanol/eeuu/articulo/2021-09-19/lluvia-de-reveses-caen-sobre-biden-en-una-sola-tarde, 240, 86, text/html
https://www.latimes.com/california/story/2021-08-08/san-diego-judge-upends-california-gun-laws-with-ar-15-views, 314, 133, text/html
https://www.latimes.com/people/karen-garcia, 247, 118, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-21/el-ceo-de-disney-advierte-que-el-mundo-esta-cambiando-y-tambien-los-acuerdos-de-talento, 254, 89, text/html
https://www.latimes.com/entertainment-arts/books/story/2021-09-22/elvira-cassandra-peterson-memoir-girlfriend, 280, 149, text/html
https://www.latimes.com/entertainment-arts/movies/story/2021-09-21/richard-buckley-death-tom-ford, 295, 145, text/html
https://www.latimes.com/lifestyle/image/story/2021-09-16/these-l-a-skate-crews-show-you-how-bonds-form-on-four-wheels, 365, 122, text/html
https://www.latimes.com/bestcovery/?utm_campaign=bestcovery&utm_medium=homepagebarker&utm_source=on_site, 105, 68, text/html
https://www.latimes.com/espanol/eeuu/articulo/2021-09-20/biden-proclama-que-ee-uu-ha-vuelto-a-naciones-unidas, 234, 82, text/html
https://www.latimes.com/opinion/story/2021-09-22/ethnic-studies-curriculum-california-schools, 258, 124, text/html
https://www.latimes.com/california/story/2021-09-17/with-recall-defeated-gavin-newsom-scores-well-in-poll-against-2022-rivals, 281, 140, text/html
https://www.latimes.com/entertainment-arts/story/2021-09-20/los-angeles-opera-verdi-trovatore-covid, 284, 141, text/html
https://www.latimes.com/topic/emmys, 336, 150, text/html
https://www.latimes.com/espanol/politica/articulo/2021-09-21/after-california-recall-is-white-house-next-for-newsom, 251, 89, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-21/karol-g-ana-barbara-y-natti-natasha-exponen-los-retos-que-tuvieron-que-superar-para-conseguir-el-exito, 244, 82, text/html
https://www.latimes.com/newsroom-directory, 255, 566, text/html
https://www.latimes.com/video, 400, 155, text/html
https://www.latimes.com/espanol/deportes/articulo/2021-09-21/canelo-golpea-a-plant-en-primer-round-de-una-pelea-que-se-convierte-en-asunto-personal, 263, 87, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-21/how-sequoias-were-saved-from-wildfire, 266, 91, text/html
https://www.latimes.com/lifestyle/story/2021-02-12/la-affairs-senior-couple-summer-romance-story, 289, 134, text/html
https://www.latimes.com/topic/for-la-times-subscribers, 289, 126, text/html
https://www.latimes.com/people/adam-elmahrek, 246, 118, text/html
https://www.latimes.com/games/sudoku, 238, 119, text/html
https://www.latimes.com/world-nation/story/2021-09-17/myanmar-popular-uprising, 304, 134, text/html
https://www.latimes.com/espanol/mexico/articulo/2021-09-20/ciudad-de-mexico-aclara-que-medicos-cubanos-contratados-estaban-acreditados, 252, 83, text/html
https://www.latimes.com/espanol/mexico/articulo/2021-09-21/hubo-practicas-ilicitas-para-sustentar-verdad-historica-en-caso-ayotzinapa, 243, 82, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-16/cal-state-san-marcos-ipads-nuevos-estudiantes-desventaja-california, 250, 91, text/html
https://www.latimes.com/politics/story/2021-09-22/civil-rights-leaders-decry-treatment-of-haitian-migrants-at-u-s-border, 276, 134, text/html
https://www.latimes.com/science/story/2021-05-17/tips-how-to-convince-someone-to-get-vaccinated, 324, 157, text/html
https://www.latimes.com/business/story/2021-09-22/why-you-need-a-credit-score-even-if-you-dont-like-debt, 278, 133, text/html
https://www.latimes.com/sports/usc/story/2021-09-21/usc-quarterback-kedon-slovis-sharp-at-practice-jaxson-dart-sidelined, 263, 134, text/html
https://www.latimes.com/espanol/internacional/articulo/2021-09-21/la-respuesta-inmune-al-sars-cov-2-es-distinta-a-la-de-otros-virus-segun-un-estudio, 249, 83, text/html
https://www.latimes.com/lifestyle/story/2019-09-19/cancer-camp-la-affairs, 279, 130, text/html
https://www.latimes.com/espanol/internacional/articulo/2021-09-21/un-arzobispo-eslovaco-que-estuvo-con-el-papa-ha-dado-positivo-en-covid, 247, 83, text/html
https://www.latimes.com/opinion/story/2021-09-22/big-oil-gas-build-back-better, 277, 134, text/html
https://www.latimes.com/california/story/2021-08-09/what-to-know-la-considers-more-covid-vaccine-mandates, 294, 137, text/html
https://www.latimes.com/espanol/deportes/articulo/2021-09-22/los-astros-se-sobreponen-al-cuadrangular-45-de-ohtani-de-los-angels, 275, 86, text/html
https://www.latimes.com/opinion/story/2021-09-22/decriminalize-jaywalking, 267, 135, text/html
https://www.latimes.com/sports, 454, 188, text/html
https://www.latimes.com/people/rene-lynch, 241, 117, text/html
https://www.latimes.com/espanol/mexico, 305, 90, text/html
https://www.latimes.com/politics/story/2021-09-21/biden-urge-action-climate-change-pandemic-united-nations, 284, 131, text/html
https://www.latimes.com/california/story/2021-08-01/more-l-a-restaurants-are-requiring-covid-19-vaccines-or-tests, 294, 136, text/html
https://www.latimes.com/business, 468, 201, text/html
https://www.latimes.com/california/story/2021-09-15/la-to-require-covid-19-vaccines-at-bars-nightclubs-breweries-wineries, 330, 144, text/html
https://www.latimes.com/business/story/2021-09-21/covid-changed-la-real-estate-making-one-million-homes-common-place, 330, 125, text/html
https://www.latimes.com/politics/la-politics-newsletter-signup-2018-story.html, 259, 127, text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2021-09-19/tejen-conciencia-de-cuidado-global, 235, 82, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-21/apuestan-a-la-expansion-de-servicios-de-salud-mental-en-las-escuelas-del-condado-de-los-angeles, 244, 84, text/html
https://www.latimes.com/sports/dodgers, 301, 150, text/html
https://www.latimes.com/opinion/story/2021-09-22/haitian-migrants-del-rio-border-patrol-horseback?_amp=true, 215, 116, text/html
https://www.latimes.com/espanol/internacional, 294, 90, text/html
https://www.latimes.com/california/story/2021-09-20/la-me-obits-karen-sydow, 295, 132, text/html
https://www.latimes.com/entertainment-arts/movies/story/2021-09-22/britney-vs-spears-documentary-netflix-erin-lee-carr, 308, 145, text/html
https://www.latimes.com/home/la-hm-la-affairs-amy-suto-20190706-story.html, 267, 134, text/html
https://www.latimes.com/california/story/2021-09-22/kristin-smart-paul-flores-case-timeline-what-to-know, 295, 132, text/html
https://www.latimes.com/projects/lausd-covid-19-cases-tracking-spread-outbreaks/, 165, 97, text/html
https://www.latimes.com/espanol/opinion/articulo/2021-09-22/joe-biden-foreign-policy-donald-trump-bernie-sanders, 246, 88, text/html
https://www.latimes.com/sports/soccer/story/2021-09-21/liga-mx-mls-new-tournament-all-48-teams, 261, 130, text/html
https://www.latimes.com/california/story/2021-09-20/skelton-california-recall-reform-governor, 291, 134, text/html
https://www.latimes.com/espanol/politica, 278, 91, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-21/los-latinos-son-los-que-mas-van-al-cine-en-eeuu-pero-no-hacen-las-peliculas, 233, 84, text/html
https://www.latimes.com/favicon-16x16.png, 0, 0, image/png
https://www.latimes.com/sports/angels/story/2021-09-21/jo-adell-angels-future, 272, 134, text/html
https://www.latimes.com/tips/, 10, 31, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-22/diego-y-yo-de-frida-a-subasta-por-record-de-mas-de-30, 235, 81, text/html
https://www.latimes.com/politics/story/2021-09-22/sen-susan-collins-says-she-would-oppose-abortion-rights-bill, 268, 126, text/html
https://www.latimes.com/espanol/eeuu/articulo/2021-09-21/biden-promete-poner-bajo-control-la-situacion-en-la-frontera-con-mexico, 256, 82, text/html
https://www.latimes.com/bestcovery/, 104, 68, text/html
https://www.latimes.com/food/story/2021-08-04/la-city-council-is-weighing-vaccine-mandates-here-are-20-restaurants-and-bars-already-requiring-them, 276, 151, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-12/lo-que-necesita-saber-de-la-vacuna-que-exigira-el-lausd, 235, 86, text/html
https://www.latimes.com/espanol/eeuu, 293, 91, text/html
https://www.latimes.com/podcasts/story/2021-09-22/the-times-podcast-latino-erasure, 253, 128, text/html
https://www.latimes.com/entertainment-arts/story/2021-04-27/welcome-to-asian-enough-season-2, 268, 121, text/html
https://www.latimes.com/games/daily-crossword, 239, 115, text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2021-09-21/iphone-13-una-puesta-al-dia-del-12-con-fotos-mas-claras-y-bateria-duradera, 254, 84, text/html
https://www.latimes.com/lifestyle/story/2019-09-12/venmo-me-for-dinner-la-affairs, 271, 128, text/html
https://www.latimes.com/california/story/2021-06-03/heres-how-to-access-healthvana-and-other-covid-19-vaccination-records, 270, 132, text/html
https://www.latimes.com/obituaries/story/2021-09-21/sarah-dash-labelle-co-founder-lady-marmalade-singer-dies, 262, 128, text/html
https://www.latimes.com/lifestyle/story/2021-07-30/how-civil-rights-activist-ellen-clark-was-found-in-an-unmarked-grave-in-altadena, 352, 144, text/html
https://www.latimes.com/environment/story/2021-09-22/world-health-organization-sets-higher-tougher-bar-for-air-quality, 289, 132, text/html
https://www.latimes.com/sitemap, 201, 282, text/html
https://www.latimes.com/favicon-32x32.png, 0, 0, image/png
https://www.latimes.com/lifestyle/story/2021-03-13/la-affairs-when-i-finally-fell-in-love-my-mother-was-on-her-deathbead, 301, 137, text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2021-09-04/nutricosmetica-vitaminas-bella-salud, 300, 96, text/html
https://www.latimes.com/science/story/2021-09-17/study-finds-big-gap-between-pfizer-moderna-vaccines-at-preventing-covid-hospitalizations, 320, 150, text/html
https://www.latimes.com/politics/story/2021-07-06/u-s-capitol-police-to-open-california-office-following-jan-6-attack, 266, 128, text/html
https://www.latimes.com/coupon-codes?utm_campaign=coupon_codes&utm_medium=homepagebarker&utm_source=on_site, 234, 111, text/html
https://www.latimes.com/espanol/etiqueta/mujeres, 262, 87, text/html
https://www.latimes.com/lifestyle/story/2021-09-11/la-hm-la-affairs-julia-simone-fogelson, 296, 133, text/html
https://www.latimes.com/california/story/2021-08-13/recall-candidate-larry-elder-disclose-finances?_amp=true, 233, 110, text/html
https://www.latimes.com/entertainment-arts, 371, 174, text/html
https://www.latimes.com/entertainment-arts/tv/story/2021-09-19/emmys-2021-best-fashion-red-carpet-live-updates, 370, 129, text/html
https://www.latimes.com/california/story/2021-09-01/covid-19-vaccine-proof-in-l-a-businesses-what-to-know?_amp=true, 248, 115, text/html
https://www.latimes.com/business/story/2021-09-21/us-sues-to-stop-deal-between-american-airlines-and-jetblue, 281, 128, text/html
https://www.latimes.com/world-nation, 300, 143, text/html
https://www.latimes.com/entertainment-arts/business/story/2021-09-21/disney-ceo-talent-deals-scarjo-lawsuit, 273, 135, text/html
https://www.latimes.com/food/story/2021-09-22/keizo-shimamotos-ramen-shack-touches-down-in-san-juan-capistrano, 276, 136, text/html
https://www.latimes.com/espanol/deportes/articulo/2021-09-04/christen-press-la-primera-jugadora-de-angel-city-recuerda-sus-anos-de-goleadora-en-el-sur-de-california, 261, 94, text/html
https://www.latimes.com/coupon-codes, 233, 111, text/html
https://www.latimes.com/b2b/cre, 772, 237, text/html
https://www.latimes.com/topic/covid-19-pandemic, 459, 232, text/html
https://www.latimes.com/politics/story/2021-09-20/biden-to-face-largest-world-stage-of-his-tenure-after-crises-from-afghanistan-to-france-and-beyond, 287, 135, text/html
https://www.latimes.com/espanol/eeuu/articulo/2021-09-21/biden-anuncia-que-eeuu-doblara-su-ayuda-internacional-contra-cambio-climatico, 246, 83, text/html
https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/, 1643, 142, text/html
https://www.latimes.com/california/story/2021-09-21/san-jose-state-to-pay-1-6-million-to-athletes-over-handling-of-sex-abuse-allegations, 270, 125, text/html
https://www.latimes.com/opinion/story/2021-08-26/pandemic-covid-19-stages-vaccination-intensive-care-respiratory-therapist, 271, 126, text/html
https://www.latimes.com/games, 232, 130, text/html
https://www.latimes.com/obituaries/story/2021-09-20/george-holliday-rodney-king-video-changed-l-a-forever-dies, 276, 128, text/html
https://www.latimes.com/subscriptions/digital.html?int_campaign=LALD21&int_content=footer&int_medium=DI&int_source=marketing_content, 33, 11, text/html
https://www.latimes.com/opinion/story/2021-09-21/reporters-exempt-arrest-protests, 280, 133, text/html
https://www.latimes.com/obituaries/gallery/notable-deaths-2021, 397, 159, text/html
https://www.latimes.com/espanol/deportes/articulo/2021-09-22/gigantes-vencen-a-padres-con-remolcador-de-wade-en-9no, 272, 86, text/html
https://www.latimes.com/lifestyle/story/2021-09-13/luna-lovebad-vibeguide, 311, 128, text/html
https://www.latimes.com/lifestyle/story/2021-09-18/la-affairs-i-stood-him-up, 288, 133, text/html
https://www.latimes.com/world-nation/story/2021-09-21/trump-sues-niece-n-y-times-over-records-behind-2018-tax-story-that-won-pulitzer, 288, 134, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-22/la-venganza-de-renzo-el-nuevo-museo-de-la-academia-ha-aterrizado-y-es-como-de-otro-mundo, 310, 90, text/html
https://www.latimes.com/sports/hockey, 278, 143, text/html
https://www.latimes.com/lifestyle/story/2020-07-11/la-affairs-was-i-dating-a-unicorn, 282, 129, text/html
https://www.latimes.com/people/laura-blasey, 233, 116, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-22/depp-nadie-esta-seguro-con-la-cultura-de-la-cancelacion, 244, 81, text/html
https://www.latimes.com/brandpublishing/hotproperty, 283, 136, text/html
https://www.latimes.com/b2b-publishing-and-events, 211, 121, text/html
https://www.latimes.com/sports/usc/story/2021-09-21/usc-coaching-search-heat-check-urban-meyer-james-franklin, 303, 122, text/html
https://www.latimes.com/people/nardine-saad, 243, 122, text/html
